datetime,depth,temp,OXY_oxy,CAR_pH,PHS_frp,OGM_top,NIT_nit,NIT_amm,OGM_ton,OGM_doc,SIL_rsi,PHY_tchla,PHY_DCHLA,PHY_CCHLA,PHY_OCHLA,ZOO_CAL,ZOO_CLA,ZOO_COP,ZOO_all
1995-01-24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.75060863,1.549312906,55.86249672,87.16241825
1995-01-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.72,2.36,0.48,14.88,NA,NA,NA,NA
1995-01-24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,1.56,0.32,9.82,NA,NA,NA,NA
1995-02-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.11601732,13.42465039,11.66909895,100.2097667
1995-03-08,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.53,0.46,0,20.07,NA,NA,NA,NA
1995-03-08,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,0.3,0,13.1,NA,NA,NA,NA
1995-03-28,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.12,1.87,0.12,15.13,NA,NA,NA,NA
1995-03-28,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.92,1.85,0.12,14.95,NA,NA,NA,NA
1995-04-24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.83330132,4.356321732,128.7030599,147.8926829
1995-04-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.72,8.77,0.09,8.86,NA,NA,NA,NA
1995-04-24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.76,13.74,0.14,13.89,NA,NA,NA,NA
1995-05-09,0,7.8,412.5,NA,NA,2.709677419,45.14285714,5.642857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,1,7.8,409.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,2,7.8,412.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,3,7.8,412.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,4,7.8,412.5,NA,NA,2.774193548,44.42857143,5.357142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,5,7.7,409.375,NA,NA,NA,NA,NA,NA,NA,NA,5.58,NA,NA,NA,NA,NA,NA,NA
1995-05-09,6,7.7,409.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,7,7.7,409.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,8,7.7,409.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,9,7.7,409.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,10,7.7,409.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,11,7.7,409.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,12,7.7,409.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,13,7.7,409.375,NA,NA,NA,NA,NA,NA,NA,NA,7.08,NA,NA,NA,NA,NA,NA,NA
1995-05-09,14,7.6,406.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,15,7.6,406.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,16,7.6,409.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,17,7.6,406.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-09,18,7.6,406.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
